research_domain_en,research_domain_de,research_domain_fr,research_domain_en_short,research_domain_de_short,research_domain_fr_short,year,key_term,count
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2011,information retrieval,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2011,pattern recognition,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2011,artificial intellig,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2011,automated reasoning,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2011,backpropagation,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2011,computer vision,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2011,data mining,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2011,data science,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2011,deep learning,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2011,expert system,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2011,face detection,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2011,feature extraction,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2011,generative adversarial net,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2011,gesture recognition,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2011,image classification,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2011,image recognition,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2011,image segmentation,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2011,intelligent machine,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2011,kernel machine,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2011,knowledge representation,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2011,machine intelligence,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2011,machine learning,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2011,machine translation,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2011,meta learning,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2011,multilayer perceptron,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2011,natural language processing,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2011,neural net,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2011,object detection,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2011,object identification,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2011,object recognition,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2011,pose estimation,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2011,reinforcement learning,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2011,semantic search,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2011,semi supervised learning,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2011,sentiment analysis,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2011,speech recognition,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2011,statistical learning,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2011,supervised learning,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2011,text classification,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2011,transfer learning,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2011,transformer net,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2011,unsupervised learning,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2011,voice recognition,0
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,machine learning,15
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,computer vision,11
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,data mining,4
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,neural net,1
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,information retrieval,1
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,artificial intellig,4
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,reinforcement learning,4
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,statistical learning,4
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,object detection,3
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,pattern recognition,1
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,object recognition,2
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,supervised learning,2
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,face detection,1
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,feature extraction,1
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,image classification,1
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,knowledge representation,1
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,natural language processing,1
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,semi supervised learning,1
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,unsupervised learning,1
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,automated reasoning,0
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,backpropagation,0
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,data science,0
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,deep learning,0
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,expert system,0
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,generative adversarial net,0
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,gesture recognition,0
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,image recognition,0
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,image segmentation,0
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,intelligent machine,0
"Mathematics, Informatics, Natural Sciences and Technology","Mathematik, Informatik, Naturwissenschaften und Technik","Mathématiques, informatique, sciences naturelles et technique",MINT,MINT,MINT,2011,kernel machine,0
